id,original_title,genres
862,Toy Story,Animation Comedy Family
8844,Jumanji,Adventure Fantasy Family
15602,Grumpier Old Men,Romance Comedy
31357,Waiting to Exhale,Comedy Drama Romance
11862,Father of the Bride Part II,Comedy
949,Heat,Action Crime Drama Thriller
11860,Sabrina,Comedy Romance
45325,Tom and Huck,Action Adventure Drama Family
9091,Sudden Death,Action Adventure Thriller
710,GoldenEye,Adventure Action Thriller
9087,The American President,Comedy Drama Romance
12110,Dracula: Dead and Loving It,Comedy Horror
21032,Balto,Family Animation Adventure
10858,Nixon,History Drama
1408,Cutthroat Island,Action Adventure
524,Casino,Drama Crime
4584,Sense and Sensibility,Drama Romance
5,Four Rooms,Crime Comedy
9273,Ace Ventura: When Nature Calls,Crime Comedy Adventure
11517,Money Train,Action Comedy Crime
8012,Get Shorty,Comedy Thriller Crime
1710,Copycat,Drama Thriller
9691,Assassins,Action Adventure Crime Thriller
12665,Powder,Drama Fantasy Thriller
451,Leaving Las Vegas,Drama Romance
16420,Othello,Drama
9263,Now and Then,Comedy Drama Family
17015,Persuasion,Drama Romance
902,La Cité des Enfants Perdus,Fantasy Adventure
37557,摇啊摇，摇到外婆桥,Drama Crime
9909,Dangerous Minds,Drama Crime
63,Twelve Monkeys,Thriller Mystery
78802,"Guillaumet, les ailes du courage",Romance Adventure
9598,Babe,Fantasy Drama Comedy Family
47018,Carrington,History Drama Romance
687,Dead Man Walking,Drama
139405,Across the Sea of Time,Adventure History Drama Family
33689,It Takes Two,Comedy Family Romance
9603,Clueless,Comedy Drama Romance
34615,"Cry, the Beloved Country",Drama
31174,Richard III,Drama War
11443,Dead Presidents,Action Crime Drama History
35196,Restoration,Drama Romance
9312,Mortal Kombat,Action Fantasy
577,To Die For,Fantasy Drama Comedy Thriller
11861,How To Make An American Quilt,Drama Romance
807,Se7en,Crime Mystery Thriller
10530,Pocahontas,Adventure Animation Drama Family
8391,When Night Is Falling,Drama Romance
629,The Usual Suspects,Drama Crime Thriller
117164,Guardian Angel,Action Thriller Drama
11448,Mighty Aphrodite,Comedy Romance
49133,Lamerica,Drama Foreign
26441,The Big Green,Action Adventure Comedy Family
97406,Georgia,Drama
124057,Kids of the Round Table,
9089,Home for the Holidays,Comedy Drama Romance
11010,Il postino,Comedy Drama Romance
99040,Le confessionnal,Thriller Drama Mystery
11359,The Indian in the Cupboard,Adventure Family Fantasy
17182,Eye for an Eye,Drama Thriller
2054,Mr. Holland's Opus,Music Drama Family
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy
19760,Two If by Sea,Comedy Romance
9536,Bio-Dome,Comedy
11525,Lawnmower Man 2: Beyond Cyberspace,Action
40628,Two Bits,Drama Family
4482,Gazon maudit,Comedy Romance
10634,Friday,Comedy
755,From Dusk Till Dawn,Horror Action Thriller Crime
11859,Fair Game,Action Thriller Romance
28387,Kicking and Screaming,Comedy Drama Romance
48750,Les misérables,Drama History
20927,Bed of Roses,Drama Romance
36929,Big Bully,Comedy Family
9102,Screamers,Horror
124626,Nico Icon,Documentary
27526,The Crossing Guard,Drama Thriller
9623,The Juror,Drama Thriller
46785,بادکنک سفید,Family Drama
400,Things to Do in Denver When You're Dead,Drama Crime
880,Antonia,Drama Comedy
146599,Once Upon a Time... When We Were Colored,Romance Drama
188588,Last Summer in the Hamptons,
8447,Angels and Insects,Drama Romance
10534,White Squall,Action Drama
17414,Dunston Checks In,Adventure Comedy Family
13997,Black Sheep,Comedy
2086,Nick of Time,Crime Drama Thriller
61548,The Journey of August King,Drama
9095,Mary Reilly,Drama Horror Thriller Romance
12158,Vampire in Brooklyn,Comedy Horror Romance
9283,Beautiful Girls,Comedy Drama Romance
9208,Broken Arrow,Action Adventure Drama Thriller
40154,A Midwinter's Tale,Comedy
406,La Haine,Drama
45549,Shopping,Action Adventure Drama Thriller
63076,Heidi Fleiss: Hollywood Madam,Documentary
11062,City Hall,Drama Thriller
13685,Bottle Rocket,Comedy Crime Drama
47475,Mr. Wrong,Comedy Romance
2045,Unforgettable,Drama Mystery Thriller
9614,Happy Gilmore,Comedy
688,The Bridges of Madison County,Drama Romance
11907,Keiner liebt mich,Drama Comedy Family
10874,Muppet Treasure Island,Action Comedy Music Family Adventure
89333,Catwalk,Documentary
96357,Headless Body in Topless Bar,Crime
197,Braveheart,Action Drama History War
103,Taxi Driver,Crime Drama
33542,紅番區,Crime Action Comedy Thriller
43566,Before and After,Drama Thriller
71754,Margaret's Museum,Drama
43612,Le Bonheur est dans le pré,Comedy
51352,Anne Frank Remembered,Documentary Drama Foreign
16934,The Young Poisoner's Handbook,Comedy Crime Drama
10324,If Lucy Fell,Comedy Romance
78406,Steal Big Steal Little,Comedy Drama
